OwnerUserId	PostId	ParentId	PostTypeID
5303201	37649291		1
1705390	37545057		1
4484584	37557711		1
5885826	37550899		1
2412395	37537506		1
6391455	37486476		1
5773776	37374411		1
4991682	37192147		1
3156633	37265463		1
2103918	37190742		1
3742823	36875872		1
3226580	21301646		1
5608668	36751207		1
4642366	36682940		1
5030005	36584763		1
5722010	36558462		1
1351605	36428952		1
363127	36420663		1
5375792	36336695		1
4775275	36321383		1
6133703	36304115		1
4348186	36213174		1
5681487	34286431		1
5208901	36258531		1
4171886	36158860		1
6092632	36126950		1
6081087	36078203		1
5111896	35813990		1
4930757	35789484		1
3435610	35751970		1
5457474	35728929		1
3098536	35271713		1
5887325	35238287		1
5839900	35171677		1
5730400	35145090		1
1344228	35085655		1
4993125	35071519		1
5844537	35027929		1
2694184	34827591		1
5143074	34854162		1
4348186	34763292		1
5566599	34565404		1
5462300	34584923		1
5636454	34356460		1
1630276	34432656		1
3138436	34387854		1
5572564	34337650		1
5281827	34318826		1
1899349	25689670		1
5453734	34274748		1
401393	34192285		1
5312436	34154694		1
4348186	34123143		1
5620678	34042787		1
5600434	33898166		1
5587809	33928557		1
3575686	33816789		1
1591731	33813283		1
4388034	33546094		1
4108618	33536746		1
5480123	33471104		1
4869326	33469653		1
1633767	13573730		1
5511366	33457573		1
5296751	33416897		1
3056733	33391473		1
5464634	33288600		1
3281028	33185874		1
4907142	33117991		1
4907142	33098231		1
3675276	33032266		1
3820773	26088145		1
5391828	32860132		1
2923907	32833644		1
3710722	32809319		1
3284379	25668179		1
4165140	32710578		1
5361875	32708949		1
4370606	32707339		1
4511872	32683415		1
5222895	32623938		1
4649374	32651596		1
4158413	32629377		1
5343904	32617895		1
4671920	32561769		1
3344734	32552250		1
3344734	32547881		1
5183498	32537101		1
4425885	32511485		1
1006504	32358821		1
4659026	32308285		1
4725638	32302668		1
3481325	23993853		1
3589165	30842681		1
5182821	32190899		1
3918282	32121006		1
4176317	30939596		1
2051815	32032791		1
1292042	32036249		1
5026801	31938729		1
4558489	31933430		1
5185857	31789306		1
4932091	31835133		1
4932091	31818618		1
2864000	31737261		1
